sentence_id,kankanaey_sentence,english_sentence,kankanaey_token,assigned_pos_tag
1,Laylaydek sik-a,I love you.,Laylaydek,
1,Laylaydek sik-a,I love you.,sik-a,
2,Inmey din lalaki,The man went.,Inmey,
2,Inmey din lalaki,The man went.,din,
2,Inmey din lalaki,The man went.,lalaki,
3,Mankanta din babai.,The woman will sing.,Mankanta,
3,Mankanta din babai.,The woman will sing.,din,
3,Mankanta din babai.,The woman will sing.,babai,
3,Mankanta din babai.,The woman will sing.,.,
4,Wada di aso.,There is a dog.,Wada,
4,Wada di aso.,There is a dog.,di,
4,Wada di aso.,There is a dog.,aso,
4,Wada di aso.,There is a dog.,.,
5,Manayayam din ubing.,The child is playing.,Manayayam,
5,Manayayam din ubing.,The child is playing.,din,
5,Manayayam din ubing.,The child is playing.,ubing,
5,Manayayam din ubing.,The child is playing.,.,
6,Emeyak ed bebeey yo.,I am going to your place.,Emeyak,
6,Emeyak ed bebeey yo.,I am going to your place.,ed,
6,Emeyak ed bebeey yo.,I am going to your place.,bebeey,
6,Emeyak ed bebeey yo.,I am going to your place.,yo,
6,Emeyak ed bebeey yo.,I am going to your place.,.,
7,Laylaydek sina tan magay somangaw,I like it here because there's no disturbance.,Laylaydek,
7,Laylaydek sina tan magay somangaw,I like it here because there's no disturbance.,sina,
7,Laylaydek sina tan magay somangaw,I like it here because there's no disturbance.,tan,
7,Laylaydek sina tan magay somangaw,I like it here because there's no disturbance.,magay,
7,Laylaydek sina tan magay somangaw,I like it here because there's no disturbance.,somangaw,
8,Nalaing ka ay man-oto,You are great at cooking.,Nalaing,
8,Nalaing ka ay man-oto,You are great at cooking.,ka,
8,Nalaing ka ay man-oto,You are great at cooking.,ay,
8,Nalaing ka ay man-oto,You are great at cooking.,man-oto,
9,Nam-is kinan tako,That meal was delicious.,Nam-is,
9,Nam-is kinan tako,That meal was delicious.,kinan,
9,Nam-is kinan tako,That meal was delicious.,tako,
10,Nalaing ka ay manginglis,You are great at speaking English.,Nalaing,
10,Nalaing ka ay manginglis,You are great at speaking English.,ka,
10,Nalaing ka ay manginglis,You are great at speaking English.,ay,
10,Nalaing ka ay manginglis,You are great at speaking English.,manginglis,
11,Ay sinoy ngadana?,What is his/her name?,Ay,
11,Ay sinoy ngadana?,What is his/her name?,sinoy,
11,Ay sinoy ngadana?,What is his/her name?,ngadana,
11,Ay sinoy ngadana?,What is his/her name?,?,
12,Makiali kan sak-en,Come with me.,Makiali,
12,Makiali kan sak-en,Come with me.,kan,
12,Makiali kan sak-en,Come with me.,sak-en,
13,Nay emeyak.,I'll be going now.,Nay,
13,Nay emeyak.,I'll be going now.,emeyak,
13,Nay emeyak.,I'll be going now.,.,
14,Omalis kas na.,Come here. ,Omalis,
14,Omalis kas na.,Come here. ,kas,
14,Omalis kas na.,Come here. ,na,
