sentence_id,kankanaey,english
1,Laylaydek sik-a,I love you.
2,Inmey din lalaki,The man went.
3,Mankanta din babai.,The woman will sing.
4,Wada di aso.,There is a dog.
5,Manayayam din ubing.,The child is playing.
6,Emeyak ed bebeey yo.,I am going to your place.
7,Laylaydek sina tan magay somangaw,I like it here because there's no disturbance.
8,Nalaing ka ay man-oto,You are great at cooking.
9,Nam-is kinan tako,That meal was delicious.
10,Nalaing ka ay manginglis,You are great at speaking English.
11,Ay sinoy ngadana?,What is his/her name?
12,Makiali kan sak-en,Come with me.
13,Nay emeyak.,I'll be going now.
14,Omalis kas na.,Come here. 
15,Adak maawatan.,I do not understand.
16,Man-aagagak.,I'm in a hurry.
17,Mangan takoet.,Let’s eat now.
18,Man-inomak kod.,Give me a drink please.
19,Linagak.,I made it myself.
20,Intoy napoam?,Where did you go?
21,Intoy emeyam?,Where are you going?
22,Emeyak sidi.,I am going there.
23,Mangon-onaak.,I'll go ahead. (said when leaving) 
24,Somaaak.,I'm going home.
25,En tako et.,Let's go.
26,Adak ammo.,I don't know.
27,Sak-en di mangamag.,Let me do it.
28,Nabbay da tan nan-obla da.,They are tired because they worked.
29,Ay ammom di ipogaw sidi?,Do you know the person there?
30,Sino san kadwam?,Who is your companion?
31,Itangeb mo din tawa.,Close the window.
32,Bokatam din tangeb.,Open the door.
33,Niling-ak.,I forgot.
34,Sino na?,What is this?
35,Sino sa?,What is that?
36,Sino di?,What/Who was that?
37,Sinoy nakin lapis issa?,Whose pencil is that?
38,Pig-an?,When?
39,Into?,Where?
40,Ay tan?,Why?
41,Intoy iyatna?,How?
42,Sino?,What/Who?
43,Ipidwam kod.,Please repeat what you said?
44,Komadwa ka kod.,Please come with me
45,Intoy ili yo?,Where are you originally from?
46,Intoy beey yod niman,Where are you currently staying?
47,Ay kadatdateng mo?,Did you just arrive?
48,Ay piga kayo ay siag-i?,How many siblings do you have?
49,Wao kami ay siag-i.,I have eight siblings.
50,"Aga, sak-en di an-anongos","No, I am the youngest."
51,Ay sik-ay pangpangoan?,Are you the eldest?
52,Ay waday asawam?,Do you have a spouse?
53,Ay way anak mo?,Do you have children?
54,"Aw, limay anak ko.","Yes, I have five children."
55,Doway babai yan toloy lalaki.,Two girls and three boys.
56,Ay dedas amam?,Is your father still alive?
57,"Aw, mon natey si inak ed taw-en.","Yes, but my mother died last year."
58,Lawa di liknana.,He doesn't feel well.
59,Mansaksakit.,It hurts.
60,En ka manpadoktol.,Go to the doctor.
61,Intoy kad-an doktol?,Where does the doctor reside.
62,Sinoy liknaem?,Tell me how you feel.
63,Mankedked toktok ko.,My head hurts.
64,Nan-ootak ed labi.,I vomited last night.
65,Kamanak manmalalya.,I feel like I'm having malaria.
66,Ay ammom ay mantagalog?,Do you know how to speak tagalog?
67,Maawatak di at-atik mon adak ammo ay mangikali.,I understand a little but I don't know how to speak.
68,Baken ostoy iyat ko ay mangikali.,I am not saying it right.
69,Ad-adalek ay mankalis kankana-ey.,I am studying how to speak kankana-ey.
70,Panbolod ta kod bolpin mo.,May I please borrow your ballpen?
71,Mansolatak en nanang.,I will write a letter for my mother.
